Day,Date,New Visitor,Returning Visitor
Friday,3/1/2019,4130,4894
Saturday,3/2/2019,4441,3195
Sunday,3/3/2019,3360,3957
Monday,3/4/2019,4661,6496
Tuesday,3/5/2019,5101,6666
Wednesday,3/6/2019,4441,6112
Thursday,3/7/2019,5020,5818
Friday,3/8/2019,4598,5103
Saturday,3/9/2019,4227,3152
Sunday,3/10/2019,3859,3170
Monday,3/11/2019,7420,5253
Tuesday,3/12/2019,7753,5200
Wednesday,3/13/2019,5155,4963
Thursday,3/14/2019,4502,4653
Friday,3/15/2019,6210,5203
Saturday,3/16/2019,4368,3360
Sunday,3/17/2019,6861,4403
Monday,3/18/2019,8933,8769
Tuesday,3/19/2019,7733,8212
Wednesday,3/20/2019,7939,7738
Thursday,3/21/2019,12955,7802
Friday,3/22/2019,8771,6645
Saturday,3/23/2019,17534,5040
Sunday,3/24/2019,10774,5750
Monday,3/25/2019,11581,8571
Tuesday,3/26/2019,9755,8999
Wednesday,3/27/2019,8355,8251
Thursday,3/28/2019,34053,9674
Friday,3/29/2019,13748,8882
Saturday,3/30/2019,37670,6893
Sunday,3/31/2019,6964,6274
Monday,4/1/2019,6657,8474
Tuesday,4/2/2019,5771,7991
Wednesday,4/3/2019,4996,7732
Thursday,4/4/2019,4776,7420
Friday,4/5/2019,4382,6173
Saturday,4/6/2019,3494,3639
Sunday,4/7/2019,3754,4972
Monday,4/8/2019,5058,8253
Tuesday,4/9/2019,5713,8832
Wednesday,4/10/2019,5271,8452
Thursday,4/11/2019,4668,7503
Friday,4/12/2019,5485,6443
Saturday,4/13/2019,3634,4251
Sunday,4/14/2019,4032,4696
Monday,4/15/2019,5462,8046
Tuesday,4/16/2019,4856,7027
Wednesday,4/17/2019,5046,6604
Thursday,4/18/2019,5523,7345
Friday,4/19/2019,3880,3938
Saturday,4/20/2019,3330,2964
Sunday,4/21/2019,3319,2973
Monday,4/22/2019,4655,5049
Tuesday,4/23/2019,5872,7709
Wednesday,4/24/2019,5254,7703
Thursday,4/25/2019,4574,6710
Friday,4/26/2019,4720,6073
Saturday,4/27/2019,3204,3726
Sunday,4/28/2019,3683,5022
Monday,4/29/2019,5640,8183
Tuesday,4/30/2019,5747,7931
Wednesday,5/1/2019,4713,7410
Thursday,5/2/2019,5403,6786
Friday,5/3/2019,4020,5605
Saturday,5/4/2019,3441,3442
Sunday,5/5/2019,3279,4136
Monday,5/6/2019,4932,7620
Tuesday,5/7/2019,5339,8086
Wednesday,5/8/2019,4605,7122
Thursday,5/9/2019,4807,6175
Friday,5/10/2019,4495,5487
Saturday,5/11/2019,5282,5553
Sunday,5/12/2019,4300,5147
Monday,5/13/2019,5143,5742
Tuesday,5/14/2019,4514,5290
Wednesday,5/15/2019,4117,5231
Thursday,5/16/2019,4073,4671
Friday,5/17/2019,3781,4331
Saturday,5/18/2019,2942,2815
Sunday,5/19/2019,2828,2594
Monday,5/20/2019,3898,4743
Tuesday,5/21/2019,4066,4533
Wednesday,5/22/2019,3774,4135
Thursday,5/23/2019,5030,5510
Friday,5/24/2019,3497,3895
Saturday,5/25/2019,2726,2083
Sunday,5/26/2019,2747,1931
Monday,5/27/2019,2808,2505
Tuesday,5/28/2019,4327,4617
Wednesday,5/29/2019,4563,4539
Thursday,5/30/2019,4047,4162
Friday,5/31/2019,3832,3674
Saturday,6/1/2019,2630,2118
Sunday,6/2/2019,2119,2219
Monday,6/3/2019,3122,4109
Tuesday,6/4/2019,2846,3750
Wednesday,6/5/2019,3708,3954
Thursday,6/6/2019,3751,3766
Friday,6/7/2019,3321,3439
Saturday,6/8/2019,2904,2201
Sunday,6/9/2019,2633,2093
Monday,6/10/2019,3546,4219
Tuesday,6/11/2019,3593,3979
Wednesday,6/12/2019,3635,4623
Thursday,6/13/2019,3564,4087
Friday,6/14/2019,3228,3549
Saturday,6/15/2019,2426,2098
Sunday,6/16/2019,2531,2168
Monday,6/17/2019,3724,3814
Tuesday,6/18/2019,4010,4019
Wednesday,6/19/2019,3666,3743
Thursday,6/20/2019,5013,3762
Friday,6/21/2019,4620,3500
Saturday,6/22/2019,3128,1967
Sunday,6/23/2019,3143,2349
Monday,6/24/2019,4243,4140
Tuesday,6/25/2019,3814,3677
Wednesday,6/26/2019,3605,3610
Thursday,6/27/2019,3592,3422
Friday,6/28/2019,3358,3226
Saturday,6/29/2019,2377,1836
Sunday,6/30/2019,2762,2002
Monday,7/1/2019,3520,3925
Tuesday,7/2/2019,3748,3885
Wednesday,7/3/2019,3066,3210
Thursday,7/4/2019,2070,1455
Friday,7/5/2019,2658,2427
Saturday,7/6/2019,2498,1824
Sunday,7/7/2019,2618,2116
Monday,7/8/2019,4365,4285
Tuesday,7/9/2019,4019,4351
Wednesday,7/10/2019,4803,4406
Thursday,7/11/2019,3964,4018
Friday,7/12/2019,3648,3585
Saturday,7/13/2019,2813,2237
Sunday,7/14/2019,2929,2353
Monday,7/15/2019,4455,4383
Tuesday,7/16/2019,3897,4334
Wednesday,7/17/2019,3936,4223
Thursday,7/18/2019,3686,3852
Friday,7/19/2019,3870,3376
Saturday,7/20/2019,3074,1998
Sunday,7/21/2019,3225,2162
Monday,7/22/2019,4576,4186
Tuesday,7/23/2019,4081,4107
Wednesday,7/24/2019,4625,4086
Thursday,7/25/2019,4888,4735
Friday,7/26/2019,4171,3871
Saturday,7/27/2019,3120,2231
Sunday,7/28/2019,3433,2456
Monday,7/29/2019,4767,4592
Tuesday,7/30/2019,4825,4586
Wednesday,7/31/2019,4728,5012
Thursday,8/1/2019,4799,5391
Friday,8/2/2019,5157,4458
Saturday,8/3/2019,3745,2647
Sunday,8/4/2019,3472,2701
Monday,8/5/2019,5007,4806
Tuesday,8/6/2019,5447,4982
Wednesday,8/7/2019,7747,4981
Thursday,8/8/2019,4570,4757
Friday,8/9/2019,4580,4269
Saturday,8/10/2019,3295,2556
Sunday,8/11/2019,3807,2870
Monday,8/12/2019,5742,5641
Tuesday,8/13/2019,5638,5316
Wednesday,8/14/2019,4494,4918
Thursday,8/15/2019,4854,5315
Friday,8/16/2019,4731,5308
Saturday,8/17/2019,3766,3453
Sunday,8/18/2019,4061,3517
Monday,8/19/2019,5596,6661
Tuesday,8/20/2019,5325,6637
Wednesday,8/21/2019,6223,6479
Thursday,8/22/2019,6171,6943
Friday,8/23/2019,5281,7073
Saturday,8/24/2019,4754,5164
Sunday,8/25/2019,4824,5753
Monday,8/26/2019,6223,9212
Tuesday,8/27/2019,6427,8823
Wednesday,8/28/2019,6548,8355
Thursday,8/29/2019,5438,7244
Friday,8/30/2019,4568,6106
Saturday,8/31/2019,3005,3141
Sunday,9/1/2019,3284,3456
Monday,9/2/2019,4206,4795
Tuesday,9/3/2019,5969,7440
Wednesday,9/4/2019,6198,7519
Thursday,9/5/2019,5640,6989
Friday,9/6/2019,4578,5669
Saturday,9/7/2019,3578,3119
Sunday,9/8/2019,4721,4224
Monday,9/9/2019,6653,8002
Tuesday,9/10/2019,6384,7424
Wednesday,9/11/2019,5828,6622
Thursday,9/12/2019,5516,6344
Friday,9/13/2019,4757,5367
Saturday,9/14/2019,3934,3186
Sunday,9/15/2019,4031,3916
Monday,9/16/2019,5570,6494
Tuesday,9/17/2019,5135,6282
Wednesday,9/18/2019,5098,6072
Thursday,9/19/2019,7527,7503
Friday,9/20/2019,4826,5359
Saturday,9/21/2019,3703,3020
Sunday,9/22/2019,3867,3923
Monday,9/23/2019,5086,6435
Tuesday,9/24/2019,5762,6599
Wednesday,9/25/2019,5443,6380
Thursday,9/26/2019,4964,5707
Friday,9/27/2019,4466,4997
Saturday,9/28/2019,3449,3064
Sunday,9/29/2019,4052,4108
Monday,9/30/2019,5185,6809
Tuesday,10/1/2019,5198,6882
Wednesday,10/2/2019,5086,6426
Thursday,10/3/2019,4936,5994
Friday,10/4/2019,6970,5523
Saturday,10/5/2019,3716,3289
Sunday,10/6/2019,3808,3899
Monday,10/7/2019,4998,6566
Tuesday,10/8/2019,5176,6497
Wednesday,10/9/2019,5362,6481
Thursday,10/10/2019,4844,5924
Friday,10/11/2019,4422,4893
Saturday,10/12/2019,3589,3049
Sunday,10/13/2019,3746,3935
Monday,10/14/2019,5987,7006
Tuesday,10/15/2019,4827,6336
